[14:19:22.151][info] Environment started  [18/246 mB]
[14:19:22.313][info] status: 0.00%  complete : sim time = 0.00 : jumps = 0  [23/246 mB]
[14:19:27.153][info] monitor : 0.01% complete : sim time = 0.00 : jumps = 1  [40/246 mB]
[14:19:32.174][info] monitor : 0.03% complete : sim time = 0.01 : jumps = 1  [64/246 mB]
[14:19:37.175][info] monitor : 0.05% complete : sim time = 0.01 : jumps = 1  [26/232 mB]
[14:19:42.192][info] monitor : 0.06% complete : sim time = 0.01 : jumps = 1  [43/230 mB]
[14:19:47.203][info] monitor : 0.08% complete : sim time = 0.02 : jumps = 1  [57/228 mB]
[14:19:52.211][info] monitor : 0.09% complete : sim time = 0.02 : jumps = 1  [17/227 mB]
[14:19:57.235][info] monitor : 0.11% complete : sim time = 0.02 : jumps = 1  [37/224 mB]
[14:20:02.244][info] monitor : 0.12% complete : sim time = 0.03 : jumps = 1  [36/223 mB]
[14:20:07.245][info] monitor : 0.13% complete : sim time = 0.03 : jumps = 1  [9/218 mB]
[14:20:12.250][info] monitor : 0.15% complete : sim time = 0.03 : jumps = 1  [34/217 mB]
[14:20:17.253][info] monitor : 0.16% complete : sim time = 0.04 : jumps = 1  [16/217 mB]
[14:20:22.254][info] monitor : 0.17% complete : sim time = 0.04 : jumps = 1  [4/214 mB]
[14:20:27.318][info] monitor : 0.19% complete : sim time = 0.04 : jumps = 1  [37/213 mB]
[14:20:32.319][info] monitor : 0.20% complete : sim time = 0.04 : jumps = 1  [33/212 mB]
[14:20:37.334][info] monitor : 0.21% complete : sim time = 0.05 : jumps = 1  [8/211 mB]
