[14:31:54.723][info] Environment started  [111/438 mB]
[14:31:54.830][info] status: 0.00%  complete : sim time = 0.00 : jumps = 0  [124/438 mB]
[14:31:59.724][info] monitor : 1.02% complete : sim time = 0.22 : jumps = 1  [469/722 mB]
[14:32:04.725][info] monitor : 2.03% complete : sim time = 0.45 : jumps = 9  [1051/1233 mB]
[14:32:09.726][info] monitor : 2.82% complete : sim time = 0.62 : jumps = 30  [130/1497 mB]
[14:32:14.727][info] monitor : 3.61% complete : sim time = 0.79 : jumps = 40  [1293/1497 mB]
[14:32:19.728][info] monitor : 4.41% complete : sim time = 0.97 : jumps = 52  [1128/1400 mB]
[14:32:24.729][info] monitor : 5.10% complete : sim time = 1.12 : jumps = 87  [942/1342 mB]
[14:32:29.730][info] monitor : 5.99% complete : sim time = 1.32 : jumps = 116  [833/1322 mB]
[14:32:34.735][info] monitor : 6.94% complete : sim time = 1.53 : jumps = 123  [732/1234 mB]
[14:32:39.736][info] monitor : 7.79% complete : sim time = 1.71 : jumps = 145  [760/1218 mB]
[14:32:44.737][info] monitor : 8.59% complete : sim time = 1.89 : jumps = 161  [840/1137 mB]
[14:32:49.738][info] monitor : 9.40% complete : sim time = 2.07 : jumps = 172  [968/1122 mB]
[14:32:53.270][info] status: 10.00%  complete : sim time = 2.20 : jumps = 182  [70/1036 mB]
[14:32:54.739][info] monitor : 10.25% complete : sim time = 2.25 : jumps = 185  [453/1036 mB]
[14:32:59.740][info] monitor : 10.97% complete : sim time = 2.41 : jumps = 206  [849/970 mB]
[14:33:04.741][info] monitor : 11.74% complete : sim time = 2.58 : jumps = 230  [547/898 mB]
[14:33:09.742][info] monitor : 12.59% complete : sim time = 2.77 : jumps = 246  [372/834 mB]
[14:33:14.743][info] monitor : 13.41% complete : sim time = 2.95 : jumps = 269  [284/775 mB]
[14:33:19.744][info] monitor : 14.20% complete : sim time = 3.12 : jumps = 285  [208/723 mB]
